order_id,gender_category,product_line,product_name,size,units_sold,mrp,discount_applied,revenue,order_date,sales_channel,region,profit,kmeans_cluster,hierarchical_cluster
2031,Men,Soccer,Premier III,,4.0,3493.04,0.82,2514.99,2024-05-09,Online,Delhi,350.7,1,2
2032,Women,Lifestyle,Blazer Mid,XL,1.0,,1.07,0.0,11-04-2025,Retail,Mumbai,-555.16,2,2
2033,Men,Soccer,Mercurial Superfly,XL,-1.0,,,0.0,,Retail,Kolkata,-1005.71,2,4
2035,Kids,Basketball,Zoom Freak,,4.0,,0.38,0.0,17-11-2024,Online,Bangalore,2914.83,4,3
2036,Men,Training,Metcon 7,,3.0,,,0.0,15-02-2025,Retail,Bangalore,-143.8,1,2
2037,Kids,Running,Pegasus Turbo,7,3.0,5653.14,1.01,-169.59,,Retail,Pune,2776.96,4,3
2038,Kids,Running,Free RN,,0.0,,0.83,0.0,,Online,Delhi,1163.21,2,4
2002,Women,Basketball,Zoom Freak,XL,3.0,5075.22,,0.0,07-03-2025,Retail,Delhi,145.08,1,2
2045,Kids,Lifestyle,Dunk Low,XL,4.0,,,0.0,2025-04-06,Retail,Delhi,1833.94,4,3
2047,Women,Training,SuperRep Go,10,1.0,8577.75,,0.0,2024-06-13,Retail,Bangalore,2888.68,0,1
2049,Kids,Soccer,Tiempo Legend,L,1.0,7767.2,,0.0,,Retail,Pune,311.48,2,1
2050,Men,Running,Air Zoom,L,1.0,,0.57,0.0,,Retail,Kolkata,682.12,2,1
2052,Men,Training,Flex Trainer,10,3.0,9155.96,,0.0,2024-10-08,Retail,Pune,2184.8,4,3
2053,Men,Lifestyle,Air Force 1,XL,3.0,6009.58,,0.0,2024/10/02,Online,Delhi,3384.92,4,3
2054,Women,Training,Flex Trainer,11,-1.0,,,0.0,2025/06/23,Online,Mumbai,-549.76,2,4
2056,Men,Running,React Infinity,L,3.0,,,0.0,2024-05-31,Retail,Bangalore,-244.44,1,2
2048,Men,Lifestyle,Waffle One,M,3.0,6216.29,0.94,1118.93,2024/09/14,Online,Mumbai,-642.02,1,2
2059,Kids,Soccer,Phantom GT,,-1.0,9507.54,,0.0,2023-12-27,Retail,Delhi,291.28,2,4
2060,Men,Lifestyle,Waffle One,L,2.0,7979.26,,0.0,2024-07-11,Online,bengaluru,2821.59,4,1
2062,Men,Basketball,Air Jordan,,2.0,,,0.0,06-06-2025,Online,Bangalore,1823.91,4,1
2063,Women,Basketball,Air Jordan,M,1.0,9751.0,0.16,8190.84,06-09-2024,Retail,Pune,1130.31,5,0
2064,Kids,Running,React Infinity,L,2.0,7557.71,,0.0,2025/03/02,Online,Bangalore,3277.44,4,1
2066,Men,Soccer,Phantom GT,XL,-1.0,5259.05,,0.0,2024-12-10,Online,Mumbai,1022.82,2,4
2067,Kids,Basketball,LeBron 20,L,4.0,3588.38,,0.0,06-05-2025,Online,Kolkata,161.5,1,3
2068,Men,Running,Free RN,,4.0,2553.29,,0.0,2024/12/05,Retail,Mumbai,984.9,1,3
2071,Kids,Lifestyle,Blazer Mid,M,3.0,7849.81,0.49,12010.21,2025/01/12,Retail,Pune,-882.96,5,0
2072,Men,Training,Flex Trainer,,3.0,,,0.0,,Retail,Pune,3639.2,4,3
2073,Women,Lifestyle,Blazer Mid,12,4.0,,0.85,0.0,03-11-2024,Online,Hyd,443.86,1,3
2074,Men,Training,Flex Trainer,L,-1.0,,0.57,0.0,,Online,Kolkata,1958.47,0,5
2075,Kids,Basketball,Air Jordan,L,4.0,4251.74,,0.0,2025/07/14,Online,Pune,2345.35,4,3
2078,Women,Basketball,LeBron 20,,0.0,6970.47,,0.0,,Online,Mumbai,262.79,2,4
2079,Men,Running,Pegasus Turbo,XL,-1.0,4322.06,,0.0,2025/01/19,Online,bengaluru,279.78,2,4
2028,Men,Running,Free RN,,-1.0,,0.21,0.0,2024-02-14,Online,Hyderabad,3303.01,0,5
2084,Men,Training,Metcon 7,M,2.0,,,0.0,2023-12-24,Online,Mumbai,408.39,1,1
2086,Men,Soccer,Mercurial Superfly,L,0.0,,0.45,0.0,2024-10-11,Online,Kolkata,1742.66,0,5
2088,Women,Running,Free RN,XL,4.0,,,0.0,26-04-2025,Online,Bangalore,2702.93,4,3
2089,Women,Training,Flex Trainer,L,2.0,6874.77,0.6,5499.82,02-12-2024,Online,Mumbai,-1076.66,5,2
2092,Kids,Basketball,Zoom Freak,XL,2.0,,1.13,0.0,,Online,Delhi,207.2,1,1
2093,Men,Running,Free RN,XL,0.0,,0.29,0.0,,Online,Kolkata,-146.73,2,4
2094,Kids,Training,Flex Trainer,10,1.0,4276.36,,0.0,10-11-2024,Retail,Delhi,2974.58,0,1
2096,Men,Running,Pegasus Turbo,XL,2.0,,,0.0,24-12-2024,Online,Kolkata,288.66,1,1
2099,Kids,Soccer,Mercurial Superfly,M,2.0,,0.32,0.0,01-02-2025,Retail,Mumbai,360.97,1,1
2100,Kids,Soccer,Phantom GT,8,1.0,5937.52,,0.0,2025-07-11,Retail,Mumbai,2287.57,0,1
2102,Women,Soccer,Mercurial Superfly,XL,-1.0,,0.77,0.0,10-04-2025,Online,Pune,284.17,2,4
2103,Women,Basketball,LeBron 20,XL,-1.0,6777.88,,0.0,2025/01/08,Online,Kolkata,469.61,2,4
2105,Kids,Training,Metcon 7,,2.0,5744.7,,0.0,17-11-2024,Retail,Mumbai,1716.04,4,1
2107,Women,Running,React Infinity,M,4.0,,,0.0,2024/08/30,Online,Hyd,-184.69,1,2
2109,Kids,Basketball,Zoom Freak,M,0.0,,,0.0,29-01-2025,Retail,Kolkata,3791.88,0,5
2110,Kids,Running,Air Zoom,12,1.0,,0.42,0.0,2024-12-25,Retail,Pune,-259.29,2,2
2114,Women,Training,Flex Trainer,XL,1.0,3167.33,0.53,1488.65,,Retail,Pune,1567.37,0,1
2115,Kids,Soccer,Phantom GT,6,2.0,7607.45,,0.0,,Online,Kolkata,1969.03,4,1
2117,Women,Training,SuperRep Go,L,0.0,7645.96,,0.0,2024-10-30,Online,Pune,2037.43,0,5
2118,Kids,Basketball,Zoom Freak,XL,2.0,8426.54,,0.0,2023-09-21,Online,hyderbad,2696.85,4,1
2119,Women,Training,Metcon 7,11,-1.0,,0.41,0.0,05-04-2025,Retail,Kolkata,2887.81,0,5
2000,Kids,Running,React Infinity,M,-1.0,,,0.0,2023-11-20,Retail,Kolkata,929.75,2,4
2122,Kids,Soccer,Mercurial Superfly,,0.0,,,0.0,,Retail,bengaluru,1078.48,2,4
2126,Kids,Running,Pegasus Turbo,L,-1.0,5399.58,,0.0,2024/12/14,Retail,Pune,2508.34,0,5
2127,Men,Training,Metcon 7,L,-1.0,4020.5,,0.0,2023-08-19,Online,Mumbai,3718.37,0,5
2130,Men,Soccer,Premier III,10,3.0,,0.24,0.0,14-09-2024,Online,bengaluru,2962.75,4,3
2132,Men,Running,Free RN,L,2.0,,,0.0,,Online,Delhi,3882.22,4,1
2135,Men,Basketball,Zoom Freak,L,2.0,9106.61,0.74,4735.44,2024-11-03,Retail,hyderbad,2422.38,5,1
2136,Kids,Training,ZoomX Invincible,L,1.0,,,0.0,2024-09-15,Online,Pune,3672.24,0,1
2137,Men,Soccer,Phantom GT,,0.0,5222.02,0.95,0.0,2025/01/12,Online,Delhi,1796.76,0,5
2138,Men,Running,Pegasus Turbo,11,2.0,8055.2,,0.0,14-06-2025,Online,Mumbai,1840.09,4,1
2143,Kids,Training,ZoomX Invincible,L,-1.0,,,0.0,2025/03/10,Online,Delhi,1006.66,2,4
2144,Women,Lifestyle,Waffle One,,4.0,,,0.0,30-03-2025,Online,Kolkata,2385.1,4,3
2145,Men,Lifestyle,Blazer Mid,6,0.0,,0.67,0.0,2024/07/30,Online,Bangalore,1335.45,2,4
2147,Women,Soccer,Phantom GT,XL,-1.0,,,0.0,2024-09-14,Online,Hyderabad,-426.53,2,4
2150,Women,Basketball,LeBron 20,M,2.0,3313.21,0.48,3445.74,06-07-2025,Online,bengaluru,3221.62,4,1
2151,Kids,Soccer,Tiempo Legend,L,4.0,5619.75,,0.0,2025-05-27,Online,bengaluru,2000.85,4,3
2153,Men,Running,React Infinity,,0.0,,0.09,0.0,2024/08/18,Retail,Pune,1246.58,2,4
2155,Men,Soccer,Phantom GT,,3.0,,,0.0,,Online,hyderbad,1475.15,4,3
2156,Men,Soccer,Tiempo Legend,M,0.0,,,0.0,31-08-2024,Online,Pune,-286.07,2,4
2157,Kids,Soccer,Premier III,,1.0,,,0.0,2025/04/29,Online,Delhi,-701.01,2,2
2158,Women,Running,React Infinity,M,-1.0,,0.5,0.0,28-01-2025,Online,Mumbai,514.79,2,4
2159,Women,Training,ZoomX Invincible,XL,2.0,3987.65,,0.0,,Retail,Delhi,2781.72,4,1
2161,Kids,Lifestyle,Waffle One,M,0.0,5119.41,0.8,0.0,,Online,Pune,1956.8,0,5
2164,Women,Soccer,Mercurial Superfly,8,0.0,,0.95,0.0,23-10-2024,Online,Pune,-872.9,2,4
2165,Kids,Training,SuperRep Go,L,4.0,4577.65,,0.0,2024/11/11,Retail,Kolkata,2460.19,4,3
2167,Men,Running,React Infinity,XL,3.0,3055.79,,0.0,,Retail,Mumbai,1259.58,1,3
2169,Kids,Training,Flex Trainer,,4.0,4046.05,0.01,16022.36,2024/12/14,Retail,Delhi,1057.58,3,0
2170,Kids,Lifestyle,Air Force 1,M,0.0,,,0.0,2025/06/28,Online,Kolkata,3218.82,0,5
2173,Men,Running,Free RN,L,-1.0,6620.78,,0.0,29-03-2025,Online,Bangalore,3770.03,0,5
2176,Men,Soccer,Mercurial Superfly,,4.0,,,0.0,04-01-2025,Online,bengaluru,3908.28,4,3
2178,Men,Running,Free RN,,1.0,,,0.0,28-10-2024,Retail,Bangalore,-983.37,2,2
2179,Women,Training,ZoomX Invincible,M,3.0,,,0.0,2024-01-26,Retail,Pune,3135.92,4,3
2181,Women,Lifestyle,Air Force 1,XL,2.0,,,0.0,2025/01/06,Retail,Delhi,419.58,1,1
2184,Men,Soccer,Mercurial Superfly,XL,4.0,,,0.0,,Retail,Hyderabad,1980.73,4,3
2185,Women,Training,ZoomX Invincible,XL,4.0,4207.44,0.59,6900.2,2025/06/08,Online,Kolkata,-615.48,5,0
2186,Men,Running,React Infinity,,0.0,,,0.0,,Retail,Bangalore,540.83,2,4
2188,Men,Running,React Infinity,L,-1.0,,,0.0,,Online,Pune,1278.03,2,4
2189,Men,Training,SuperRep Go,L,3.0,,0.9,0.0,2024/10/02,Online,Hyd,3628.46,4,3
2191,Men,Lifestyle,Air Force 1,8,3.0,,,0.0,2024/09/28,Retail,Pune,-1032.88,1,2
2192,Men,Basketball,Kyrie Flytrap,XL,-1.0,,,0.0,2023-10-13,Retail,Delhi,554.91,2,4
2193,Women,Lifestyle,Waffle One,XL,-1.0,,1.24,0.0,2025-01-17,Retail,Delhi,1803.66,0,5
2196,Kids,Soccer,Premier III,L,2.0,2708.73,,0.0,2025-06-30,Online,Delhi,925.63,1,1
2197,Kids,Training,ZoomX Invincible,L,3.0,,,0.0,2024-10-06,Online,bengaluru,-418.5,1,2
2198,Men,Training,SuperRep Go,7,4.0,,0.65,0.0,2025/01/05,Online,Pune,-169.33,1,2
2199,Men,Soccer,Premier III,M,1.0,,,0.0,,Retail,Kolkata,389.94,2,1
2200,Men,Basketball,Air Jordan,9,3.0,5570.72,,0.0,,Online,Delhi,1513.76,4,3
2202,Men,Basketball,Kyrie Flytrap,M,-1.0,7918.93,1.06,475.14,2025/07/04,Retail,Bangalore,1994.42,0,5
2203,Men,Lifestyle,Air Force 1,M,0.0,6903.22,,0.0,,Online,Pune,1556.95,0,5
2205,Women,Running,React Infinity,XL,0.0,,,0.0,24-04-2025,Retail,Pune,-467.52,2,4
2206,Men,Training,Flex Trainer,M,2.0,,,0.0,,Online,Delhi,-524.85,1,2
2000,Kids,Training,Metcon 7,,4.0,,0.94,0.0,2024-02-27,Retail,bengaluru,2372.82,4,3
2214,Men,Basketball,LeBron 20,XL,2.0,5016.03,,0.0,,Retail,Mumbai,1446.0,4,1
2215,Men,Basketball,Zoom Freak,XL,3.0,,0.36,0.0,2024/12/16,Online,Kolkata,3254.06,4,3
2216,Women,Lifestyle,Air Force 1,M,1.0,3111.62,,0.0,,Online,Hyd,2617.56,0,1
2218,Kids,Soccer,Premier III,6,2.0,,,0.0,,Online,Bangalore,1440.02,4,1
2219,Women,Basketball,Air Jordan,M,-1.0,,1.06,0.0,,Online,bengaluru,3305.72,0,5
2221,Kids,Lifestyle,Waffle One,L,2.0,3375.97,,0.0,2024-01-06,Retail,Mumbai,-297.05,1,2
2222,Men,Training,ZoomX Invincible,XL,2.0,8897.19,0.11,15837.0,2024-12-21,Retail,Mumbai,2821.69,3,0
2223,Kids,Training,Flex Trainer,M,-1.0,9180.15,,0.0,2025-02-15,Online,Kolkata,799.28,2,4
2224,Kids,Lifestyle,Dunk Low,,-1.0,,0.12,0.0,24-09-2024,Online,Pune,3278.7,0,5
2231,Kids,Training,Flex Trainer,9,0.0,,1.05,0.0,2025-01-04,Online,bengaluru,-39.48,2,4
2233,Men,Lifestyle,Air Force 1,XL,0.0,,,0.0,,Online,Kolkata,2398.07,0,5
2234,Men,Training,Flex Trainer,,4.0,6189.1,1.12,-2970.77,2024-12-21,Retail,bengaluru,2085.62,4,3
2042,Men,Basketball,Kyrie Flytrap,10,1.0,5254.47,,0.0,26-02-2025,Retail,bengaluru,2459.63,0,1
2238,Kids,Training,SuperRep Go,,3.0,4348.86,,0.0,,Online,Delhi,662.02,1,3
2046,Kids,Basketball,LeBron 20,,-1.0,4934.46,0.86,-690.82,,Retail,Kolkata,2237.95,0,5
2244,Kids,Training,Metcon 7,L,2.0,,,0.0,,Online,Delhi,1904.11,4,1
2246,Kids,Basketball,LeBron 20,L,-1.0,7806.98,,0.0,02-10-2024,Online,Hyderabad,-943.35,2,4
2248,Men,Training,Metcon 7,M,4.0,8249.96,0.24,25079.88,2024-01-16,Online,bengaluru,1625.14,3,0
2046,Men,Basketball,Air Jordan,,2.0,9593.65,,0.0,11-01-2025,Online,hyderbad,1592.5,4,1
2253,Men,Training,Flex Trainer,M,0.0,,,0.0,18-05-2025,Online,bengaluru,1516.72,0,5
2257,Men,Basketball,Kyrie Flytrap,XL,1.0,,,0.0,2025/02/09,Online,Mumbai,-365.42,2,2
2260,Women,Lifestyle,Dunk Low,M,2.0,,,0.0,2024/12/12,Retail,Pune,-352.18,1,2
2262,Women,Running,Pegasus Turbo,L,0.0,,,0.0,2024-09-15,Retail,Pune,3146.93,0,5
2263,Women,Soccer,Premier III,M,0.0,5172.14,,0.0,2024/10/08,Online,Kolkata,2510.55,0,5
2264,Men,Training,ZoomX Invincible,,4.0,5622.32,1.08,-1799.14,2024-04-22,Retail,bengaluru,1248.25,1,3
2267,Women,Running,Air Zoom,M,-1.0,3075.72,,0.0,2024-12-20,Retail,Kolkata,238.78,2,4
2268,Men,Soccer,Mercurial Superfly,M,3.0,7330.81,,0.0,2023-11-16,Online,Kolkata,518.71,1,3
2269,Women,Training,ZoomX Invincible,11,4.0,6424.32,,0.0,2024-07-14,Retail,Mumbai,-405.26,1,2
2270,Men,Running,React Infinity,XL,1.0,,1.03,0.0,06-06-2025,Retail,Pune,3088.25,0,1
2038,Women,Training,ZoomX Invincible,XL,1.0,7338.57,,0.0,21-10-2024,Retail,Delhi,3680.24,0,1
2273,Kids,Running,Free RN,M,-1.0,4004.36,,0.0,2024-01-30,Online,Kolkata,-614.66,2,4
2274,Women,Training,Metcon 7,6,4.0,,0.45,0.0,2025/06/13,Online,bengaluru,2561.89,4,3
2275,Kids,Running,Pegasus Turbo,M,-1.0,,,0.0,03-07-2025,Online,Pune,-783.71,2,4
2276,Kids,Lifestyle,Air Force 1,L,-1.0,6066.5,,0.0,2023-08-29,Retail,Kolkata,1181.87,2,4
2280,Women,Soccer,Mercurial Superfly,M,-1.0,,,0.0,2025/02/13,Online,Delhi,3069.57,0,5
2281,Kids,Lifestyle,Waffle One,M,2.0,,,0.0,2025-07-13,Retail,Kolkata,1753.48,4,1
2283,Men,Soccer,Mercurial Superfly,10,1.0,,,0.0,2024/08/21,Retail,Delhi,468.59,2,1
2285,Women,Basketball,LeBron 20,L,-1.0,,,0.0,,Retail,Delhi,2211.71,0,5
2287,Women,Running,React Infinity,9,3.0,,,0.0,,Online,Mumbai,-650.68,1,2
2291,Women,Basketball,LeBron 20,L,-1.0,,,0.0,,Retail,Pune,2729.23,0,5
2292,Women,Running,Free RN,M,2.0,,1.1,0.0,05-11-2024,Online,Kolkata,1192.5,1,1
2293,Women,Basketball,Air Jordan,XL,3.0,,,0.0,13-05-2025,Retail,Mumbai,2525.87,4,3
2299,Kids,Soccer,Phantom GT,,2.0,,0.77,0.0,09-05-2025,Online,hyderbad,2596.8,4,1
2300,Men,Basketball,Air Jordan,L,3.0,6331.64,0.78,4178.88,17-08-2024,Retail,Delhi,3380.28,4,1
2302,Women,Running,Air Zoom,XL,0.0,,,0.0,2025/02/27,Retail,Hyd,1489.99,0,5
2303,Kids,Running,Free RN,L,2.0,2504.09,,0.0,24-12-2024,Retail,Hyd,2971.55,4,1
2306,Kids,Basketball,Air Jordan,,1.0,8267.56,0.29,5869.97,2024/11/10,Retail,Bangalore,476.25,5,0
2307,Women,Running,Free RN,XL,2.0,9369.1,,0.0,18-06-2025,Retail,Kolkata,2390.7,4,1
2308,Men,Running,Pegasus Turbo,,0.0,,0.65,0.0,2025/05/01,Online,bengaluru,2282.01,0,5
2026,Women,Training,Flex Trainer,M,4.0,,0.26,0.0,2024/09/25,Online,Delhi,495.62,1,3
2313,Women,Training,SuperRep Go,M,0.0,,,0.0,,Online,Delhi,480.74,2,4
2314,Women,Soccer,Mercurial Superfly,M,2.0,,0.86,0.0,09-12-2024,Retail,Mumbai,1505.11,4,1
2316,Men,Soccer,Phantom GT,M,1.0,,0.39,0.0,,Retail,Delhi,3862.6,0,1
2318,Men,Soccer,Phantom GT,11,2.0,,0.25,0.0,04-04-2025,Retail,Delhi,1894.17,4,1
2319,Women,Basketball,Kyrie Flytrap,L,-1.0,5649.99,,0.0,29-06-2025,Online,Delhi,2141.68,0,5
2322,Women,Running,Pegasus Turbo,L,0.0,8016.24,,0.0,07-04-2025,Retail,Delhi,1333.86,2,4
2324,Women,Soccer,Mercurial Superfly,M,0.0,,0.21,0.0,27-02-2025,Online,Kolkata,2640.1,0,5
2325,Men,Basketball,Zoom Freak,M,0.0,8031.83,0.56,0.0,2025/05/18,Online,Kolkata,3954.38,0,5
2326,Women,Lifestyle,Dunk Low,XL,4.0,9936.94,,0.0,10-12-2024,Retail,Kolkata,2047.65,4,3
2327,Men,Training,Flex Trainer,XL,4.0,6640.67,,0.0,21-03-2025,Retail,Delhi,3402.41,4,3
2328,Men,Lifestyle,Waffle One,6,2.0,6449.46,0.29,9158.23,09-11-2024,Online,Mumbai,39.69,5,0
2329,Men,Basketball,Kyrie Flytrap,L,4.0,4981.26,,0.0,05-06-2025,Online,Mumbai,1833.07,4,3
2332,Kids,Training,Flex Trainer,,-1.0,,0.22,0.0,2024-07-15,Retail,Pune,2914.06,0,5
2334,Women,Training,SuperRep Go,L,4.0,,0.82,0.0,2024-06-06,Retail,Mumbai,-80.25,1,2
2335,Women,Running,Free RN,XL,0.0,5620.64,,0.0,2024-01-05,Online,Mumbai,217.22,2,4
2336,Kids,Soccer,Mercurial Superfly,8,4.0,8482.43,,0.0,2023-10-22,Online,Pune,3854.71,4,3
2339,Women,Basketball,LeBron 20,L,4.0,,,0.0,,Retail,Kolkata,3196.02,4,3
2340,Women,Running,Free RN,7,3.0,,0.91,0.0,2024/08/07,Online,Mumbai,-425.99,1,2
2343,Women,Basketball,Zoom Freak,,0.0,7507.91,,0.0,22-11-2024,Retail,Kolkata,1900.24,0,5
2344,Kids,Training,ZoomX Invincible,10,-1.0,,0.65,0.0,20-06-2025,Online,Kolkata,938.88,2,4
2345,Men,Running,React Infinity,,0.0,,,0.0,21-06-2025,Retail,Hyderabad,3039.05,0,5
2349,Kids,Soccer,Tiempo Legend,10,3.0,,,0.0,2023-10-25,Online,Delhi,-902.62,1,2
2350,Men,Running,Air Zoom,,4.0,8228.88,,0.0,21-03-2025,Retail,Delhi,2494.5,4,3
2351,Men,Basketball,LeBron 20,11,3.0,4179.34,,0.0,29-07-2024,Retail,Pune,2363.69,4,3
2353,Kids,Training,ZoomX Invincible,9,0.0,,0.22,0.0,2024-10-03,Retail,Bangalore,818.35,2,4
2354,Men,Basketball,Kyrie Flytrap,L,0.0,,,0.0,2024/09/06,Online,hyderbad,1445.09,0,4
2355,Women,Lifestyle,Waffle One,L,1.0,,,0.0,2024/07/26,Retail,bengaluru,-887.83,2,2
2358,Men,Basketball,LeBron 20,M,4.0,,,0.0,24-02-2025,Online,Pune,1819.6,4,3
2359,Men,Lifestyle,Waffle One,L,-1.0,9836.48,0.34,-6492.08,,Retail,Pune,-874.96,2,4
2361,Kids,Training,Flex Trainer,L,0.0,,1.06,0.0,2024/07/30,Retail,Mumbai,1302.98,2,4
2362,Women,Lifestyle,Blazer Mid,XL,2.0,,1.04,0.0,2024/12/09,Online,bengaluru,3817.26,4,1
2367,Kids,Lifestyle,Dunk Low,XL,4.0,6202.99,0.84,3969.91,2024/11/12,Online,Bangalore,-202.12,1,2
2369,Men,Basketball,LeBron 20,XL,0.0,4248.21,0.5,0.0,11-07-2025,Online,Hyderabad,2427.86,0,5
2370,Men,Running,Pegasus Turbo,L,2.0,,,0.0,2025/02/04,Online,Delhi,867.37,1,1
2371,Kids,Training,Flex Trainer,,1.0,,0.05,0.0,15-04-2025,Online,Kolkata,3424.65,0,1
2006,Women,Basketball,Zoom Freak,L,-1.0,8799.22,,0.0,2023-08-13,Retail,Bangalore,-1109.57,2,4
2375,Men,Training,Metcon 7,,-1.0,9061.25,,0.0,05-04-2025,Retail,Mumbai,990.59,2,4
2377,Men,Basketball,LeBron 20,,4.0,,,0.0,02-07-2025,Online,Mumbai,2438.24,4,3
2378,Women,Basketball,LeBron 20,XL,-1.0,,,0.0,04-11-2024,Retail,Mumbai,2107.42,0,5
2379,Men,Lifestyle,Air Force 1,L,4.0,,,0.0,2024-04-09,Online,Mumbai,3289.77,4,3
2380,Men,Soccer,Phantom GT,M,1.0,7932.85,,0.0,09-12-2024,Retail,Delhi,2707.27,0,1
2381,Kids,Lifestyle,Dunk Low,M,3.0,4834.65,1.02,-290.08,2024/10/12,Retail,Pune,213.96,1,2
2382,Men,Lifestyle,Waffle One,L,4.0,,,0.0,2024-03-09,Retail,Mumbai,787.42,1,3
2004,Women,Basketball,LeBron 20,,-1.0,3272.45,,0.0,2025/02/28,Online,Kolkata,69.68,2,4
2384,Women,Training,SuperRep Go,,3.0,2070.97,1.25,-1553.23,05-09-2024,Online,Delhi,42.89,1,2
2387,Women,Basketball,Kyrie Flytrap,,3.0,,,0.0,2024/09/21,Online,Pune,1042.09,1,3
2388,Kids,Running,Air Zoom,L,1.0,5321.46,,0.0,2024/09/02,Retail,Bangalore,2587.26,0,1
2389,Women,Basketball,Kyrie Flytrap,XL,0.0,7901.16,0.77,0.0,2024/10/08,Online,Delhi,-406.39,2,4
2390,Kids,Lifestyle,Waffle One,XL,-1.0,,,0.0,2025/05/24,Online,Delhi,496.54,2,4
2002,Women,Training,ZoomX Invincible,XL,4.0,6820.42,,0.0,2024/10/03,Retail,Kolkata,3842.85,4,3
2395,Kids,Soccer,Premier III,XL,1.0,,,0.0,2025/07/08,Online,Pune,85.0,2,2
2399,Women,Running,Air Zoom,L,-1.0,6188.29,,0.0,2024-08-07,Retail,Pune,515.6,2,4
2025,Kids,Training,ZoomX Invincible,XL,4.0,6743.07,,0.0,2024-10-09,Online,Pune,-277.41,1,2
2012,Kids,Running,Pegasus Turbo,,0.0,9220.15,,0.0,2025/04/02,Retail,Pune,2688.05,0,5
2405,Men,Basketball,Kyrie Flytrap,6,1.0,,,0.0,2024-11-17,Online,Kolkata,69.95,2,2
2406,Men,Training,Metcon 7,L,4.0,6458.72,,0.0,2023-09-17,Online,Mumbai,402.0,1,3
2408,Men,Soccer,Premier III,XL,1.0,,,0.0,2024/10/09,Retail,bengaluru,1731.86,0,1
2025,Men,Lifestyle,Blazer Mid,L,1.0,8903.17,,0.0,,Retail,Kolkata,3808.81,0,1
2412,Kids,Lifestyle,Blazer Mid,XL,1.0,4920.3,0.14,4231.46,,Retail,Mumbai,1135.72,5,1
2413,Men,Training,Flex Trainer,XL,3.0,7005.67,0.15,17864.46,,Retail,Kolkata,2329.98,3,0
2415,Women,Running,Free RN,8,3.0,6178.39,,0.0,2024/07/22,Retail,Bangalore,73.75,1,2
2416,Kids,Soccer,Mercurial Superfly,9,3.0,6245.23,1.15,-2810.35,14-12-2024,Retail,Mumbai,3485.64,4,3
2421,Women,Running,React Infinity,M,2.0,8136.39,,0.0,2025-03-10,Retail,Pune,3398.15,4,1
2422,Kids,Soccer,Tiempo Legend,,4.0,,,0.0,2024/07/23,Retail,Mumbai,3044.66,4,3
2428,Kids,Basketball,Kyrie Flytrap,12,2.0,,,0.0,07-12-2024,Retail,Mumbai,427.51,1,1
2430,Women,Soccer,Tiempo Legend,12,3.0,,0.1,0.0,2025/07/09,Online,Pune,215.3,1,2
2431,Women,Lifestyle,Blazer Mid,L,1.0,,,0.0,15-11-2024,Online,Hyderabad,1627.78,0,1
2432,Women,Basketball,Zoom Freak,L,1.0,3036.61,0.86,425.13,2024-10-26,Online,Mumbai,3754.3,0,1
